nct_id,brief_title,overall_status,lead_sponsor_class,phase,start_date,ncfb_reason
NCT03218917,Assessment of INS1007 in Participants With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,PHASE2,2017-10-31,non-cystic fibrosis bronchiectasis
NCT03262142,Targeted AntiBiotics for Chronic Pulmonary Diseases,TERMINATED,OTHER,PHASE4,2018-01-10,non-cystic fibrosis bronchiectasis
NCT03428334,Roflumilast in Non-CF Bronchiectasis Study,COMPLETED,OTHER,PHASE2,2018-05-10,non-cystic fibrosis bronchiectasis
NCT03460704,Trial in Non-cystic Fibrosis Bronchiectasis Patients With Chronic Lung Infections Treated With Colistimethate Sodium.,TERMINATED,INDUSTRY,PHASE3,2018-01-29,non-cystic fibrosis bronchiectasis
NCT03903913,"Safety, Tolerability and Efficacy of S-1226 in Cystic Fibrosis and Non CF Bronchiectasis",UNKNOWN,INDUSTRY,PHASE2,2019-08-08,non-cf bronchiectasis
NCT03988816,"Effect of Roflumilast on Quality of Life, Lung Function and Mucus Properties in Patients With Bronchiectasis",UNKNOWN,OTHER,PHASE2,2019-12-06,non-cystic fibrosis bronchiectasis
NCT04010799,"A Clinical Study to Investigate Safety, Tolerability and Distribution of CHF 6333 After One or After Repeated Inhalation in Patients With Cystic Fibrosis (CF) and in Patients With Non Cystic Fibrosis (NCFB) Bronchiectasis",COMPLETED,INDUSTRY,PHASE1,2019-05-27,non-cystic fibrosis bronchiectasis
NCT04017312,A Pilot Study to Evaluate the Use of the Vest® System for Treatment of Bronchiectasis Patients in the Home Setting,TERMINATED,INDUSTRY,NA,2019-08-23,non-cystic fibrosis bronchiectasis
NCT04090294,Assessment of Early Outcomes of Roflumilast in Patients With Non Cystic Fibrosis Bronchiectasis,UNKNOWN,OTHER,EARLY_PHASE1,2019-10-01,non-cystic fibrosis bronchiectasis
NCT04122547,Efficacy of Roflumilast on Exacerbations in Patients With Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE3,2015-01,non-cystic fibrosis bronchiectasis
NCT04170114,Comparison of the Efficacy of Comprehensive Respiratory Physiotherapy in Children With Cystic Fibrosis and Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2020-01-01,non-cystic fibrosis bronchiectasis
NCT04278040,Inhalations of Ultra-low Doses of Melphalan for the Treatment of Non-cystic Fibrosis Bronchiectasis,UNKNOWN,OTHER_GOV,PHASE2,2018-06-20,non-cystic fibrosis bronchiectasis
NCT04322929,Roflumilast in Non-CF Bronchiectasis Study (2019),COMPLETED,OTHER,PHASE2,2020-11-12,non-cystic fibrosis bronchiectasis
NCT04411901,The Role of Vitamin D3 in Pediatric Bronchiectasis Severity,COMPLETED,OTHER,PHASE2;PHASE3,2018-03-01,non-cf bronchiectasis
NCT04509661,Efficacy and Safety of Inhaled Bronchodilator in Non-CF Bronchiectasis With Airflow Limitation,UNKNOWN,OTHER,PHASE4,2020-09-01,non-cystic fibrosis bronchiectasis
NCT04594369,"A Study to Assess the Efficacy, Safety, and Tolerability of Brensocatib in Participants With Non-Cystic Fibrosis Bronchiectasis",COMPLETED,INDUSTRY,PHASE3,2020-12-01,non-cystic fibrosis bronchiectasis
NCT04643587,Study to Assess CSL787 in Non-cystic Fibrosis Bronchiectasis (NCFB),COMPLETED,INDUSTRY,PHASE1,2020-12-07,non-cystic fibrosis bronchiectasis
NCT04656275,A Study in Patients With Non-cystic Fibrosis Bronchiectasis to Test How Well Different Doses of BI 1323495 Are Tolerated and How BI 1323495 Affects Biomarkers of Inflammation,TERMINATED,INDUSTRY,PHASE1,2021-03-04,non-cystic fibrosis bronchiectasis
NCT04658277,Effect of Long Term Clarithromycin for Prevention of Exacerbations in Non-cystic Fibrosis Bronchiectasis in Asian Populations,UNKNOWN,OTHER,NA,2020-10-01,non-cystic fibrosis bronchiectasis
