nct_id,name,class
NCT00391703,Vaincre la Mucoviscidose,OTHER
NCT03462056,Cystic Fibrosis Foundation,OTHER
NCT01241942,Vitrolife,INDUSTRY
NCT01241942,XVIVO Perfusion,INDUSTRY
NCT00590538,Cystic Fibrosis Foundation,OTHER
NCT00287443,"Genentech, Inc.",INDUSTRY
NCT00591864,United States Department of Defense,FED
NCT01614457,Cystic Fibrosis Foundation,OTHER
NCT00803205,Cystic Fibrosis Foundation,OTHER
NCT03894657,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT02677701,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT02677701,Cystic Fibrosis Foundation,OTHER
NCT02677701,CF Therapeutics Development Network Coordinating Center,NETWORK
NCT07780344,Cystic Fibrosis Trust,OTHER
NCT02589236,Medidata Solutions,INDUSTRY
NCT00095732,Cystic Fibrosis Foundation,OTHER
NCT02748798,Thunder Bay Regional Health Sciences Centre,OTHER
NCT02748798,St. Joseph's Care Group,OTHER
NCT02748798,Lakehead University,OTHER
NCT02730793,Eastern Virginia Medical School,OTHER
NCT03172793,"Cumberland Pharmaceuticals, Inc.",UNKNOWN
NCT04133246,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT01325766,Firland Foundation,UNKNOWN
NCT00934362,Cystic Fibrosis Foundation,OTHER
NCT00934362,Windtree Therapeutics,INDUSTRY
NCT02239874,National Cancer Institute (NCI),NIH
NCT00885521,Austin Health,OTHER_GOV
NCT00885521,Sir Charles Gairdner Hospital,OTHER
NCT00885521,Curtin University,OTHER
NCT01764841,Novartis,INDUSTRY
NCT00749866,NHS Lothian,OTHER_GOV
NCT03139266,University of Michigan,OTHER
NCT03139266,Boston Children's Hospital,OTHER
NCT03139266,University at Buffalo,OTHER
NCT03139266,Emory University,OTHER
NCT03139266,"Children's Hospital Medical Center, Cincinnati",OTHER
NCT03139266,Johns Hopkins University,OTHER
NCT03139266,Cystic Fibrosis Foundation,OTHER
NCT00287430,Dana S Hardin,UNKNOWN
NCT05517655,University of Kansas,OTHER
NCT05517655,University of Iowa,OTHER
NCT05517655,University of Virginia,OTHER
NCT00645788,Novartis,INDUSTRY
NCT00850551,Cystic Fibrosis Foundation,OTHER
NCT02354859,Cystic Fibrosis Foundation,OTHER
