nct_id,intervention_type,intervention_name,description
NCT01161537,DRUG,VX-770,Tablet.
NCT01161537,DRUG,Placebo,Tablet.
NCT02657473,DRUG,tobramycin inhalation solution,
NCT02657473,DRUG,Saline 0.9% inhalation solution,
NCT00082238,OTHER,Stable isotopes,"Stable isotopes were used to quantify gluconeogenesis GNG, hepatic glucose production (HGP), and protein breakdown."
NCT02965326,PROCEDURE,Nasal swab; rectal biopsy.,"Nasal epithelial cells will be obtained by nasal swabs from patients of the three arms; intestinal epithelial cells will be obtained, by rectal biopsy, only from patients treated by CFTR modulators."
NCT01885650,OTHER,Airway Clearance Techniques,
NCT03460704,DRUG,CMS,"1 MIU equivalent to 80 mg colistimethate sodium diluted in 1 mL saline solution 0.45%. Investigational Medicinal Product (IMP) glass vials were shrink wrapped in opaque white plastic and provided in boxes of 30 vials (two weeks of b.i.d. dosing).

The 1 MIU/ml CMS/0.45% saline solution was transferred from the glass vial into a specific nebuliser system fitted with a 0.3 mL medication chamber, for administration by inhalation. This delivered a nominal dose of 0.3 MIU/24 mg CMS (11 mg CBA) from the device.

The first dose of the IMP was administered at the site under the supervision of the site staff and subjects were instructed how to prepare and self-administer the IMP at home via a specific nebuliser system, b.i.d. (morning and evening) over aperiod of 12 month.

At least 10 minutes (min) before each administration, an inhaled short-acting bronchodilator (e.g. salbutamol/albuterol), supplied by the Sponsor, could be taken to improve tolerability."
NCT03460704,OTHER,Placebo,1 mL saline solution 0.45%. The placebo was made up of identical empty glass vials to which the same saline solution diluent was added in exactly the same way as the reconstitution of the active treatment by injecting the diluent through the rubber stopper. The glass vials were shrink wrapped with opaque white plastic to mantain the blind.
NCT03637504,BEHAVIORAL,MedActionPlan®,"web-based, mobile medication management application \[MedActionPlan® (MAP)\]"
NCT03229252,DRUG,Placebo Inhalation Solution,Normal Saline Inhalation Solution
NCT03229252,DRUG,SPX-101,SPX-101 Inhalation Solution
NCT04381429,DRUG,A-F-A-F (NovoRapid-FIASP-NovoRapid-FIASP),A = pre-prandial aspart insulin (NovoRapid) F = post prandial Faster-acting aspart insulin (FIASP)
NCT04381429,DRUG,F-A-F-A (FIASP-NovoRapid-FIASP-NovoRapid),A = pre-prandial aspart insulin (NovoRapid) F = post prandial Faster-acting aspart insulin (FIASP)
NCT03070522,DRUG,Prednisone,oral prednisone for 7 days during pulmonary exacerbation
NCT03070522,DRUG,Placebos,Placebo
NCT05453578,OTHER,Placebo,0.9 percent sodium chloride
NCT05453578,BIOLOGICAL,WRAIR-PAM-CF1,"Bacteriophage combination composed of the following phages: PaWRA01Phi11, PaWRA01Phi39, PaWRA02Phi83, and PaWRA02Phi87."
NCT07809867,DRUG,"Elexacaftor, Tezacaftor, Ivacaftor",Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) modulator therapy
NCT07809867,DRUG,Ivacaftor (VX-770),Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) modulator therapy
NCT06515002,GENETIC,BI 3720931,BI 3720931
NCT06515002,DRUG,Placebo,Placebo
NCT06515002,DEVICE,Inhaler,Inhaler for application of BI 3720931 and placebo
NCT02323100,DRUG,Ravicti low dose,"8 am, 4pm and midnight"
NCT02323100,DRUG,Placebo,"8 am, 4pm and midnight"
NCT01685801,DRUG,Ivacaftor,150 milligram (mg) tablet orally every 12 hours up to 12 weeks.
NCT01685801,DRUG,Placebo-matched-to-ivacaftor tablet,Orally every 12 hours up to 4 weeks.
NCT04039087,DRUG,Sildenafil 40mg oral capsule,"40 mg, sildenafil capsule taken by mouth thrice daily"
NCT04039087,DRUG,Placebo Oral capsule,Placebo capsule taken by mouth thrice daily
NCT01706445,OTHER,Other,inspiratory muscle training (IMT) + aerobic and strength training 8-week duration IMT twice a day (mostly at home) + 3 weekly sessions of inhospital resistance + aerobic training
NCT04122547,DRUG,Roflumilast,Active drug
NCT04122547,DRUG,Placebo,Placebo one tablet oral od
NCT02342964,OTHER,Measure of hepatic elasticity,"Measure of hepatic elasticity by four non-invasive methods:

Fibroscan, Fibrotest, SWE, MRE."
NCT07696338,OTHER,As-needed hypertonic saline (HS),As-needed hypertonic saline (HS) therapy during the 52-week study period.
NCT07696338,OTHER,Twice daily hypertonic saline (HS),"Twice daily hypertonic saline (HS) therapy during the 52-week study period. The concentration of HS is according to clinical prescription (e.g., 7% sodium chloride)."
NCT07696338,OTHER,As-needed dornase alfa (DA),As-needed dornase alfa (DA) therapy during the 52-week study period.
NCT07696338,OTHER,Daily dornase alfa (DA),Daily dornase alfa (DA) during the 52-week study period.
NCT01509235,PROCEDURE,Chest physiotherapy,The whole exercise session consisted of three short period of exercise of 5 minutes each entirely done under the physiotherapists' supervision (FA).
NCT03309358,DRUG,Inhaled SNSP113,A single ascending dose of inhaled SNSP113 will be administered to healthy subjects and subjects with stable cystic fibrosis.
NCT03309358,DRUG,Inhaled Placebo,A single dose of inhaled placebo control will be administered to healthy subjects and subjects with stable cystic fibrosis.
NCT00333385,DRUG,ceftazidime,
NCT04884308,BIOLOGICAL,BCG TICE Vaccine,Intradermal vaccination with BCG TICE
NCT02730208,DRUG,Tezacaftor/Ivacaftor,TEZ 100 mg/IVA 150 mg fixed-dose combination tablet.
NCT02730208,DRUG,Ivacaftor,IVA 150 mg tablet.
NCT02730208,DRUG,Placebo,Placebo matched to TEZ/IVA fixed-dose combination tablet.
NCT02730208,DRUG,Placebo,Placebo matched to IVA tablet.
NCT04235140,DRUG,LUM/IVA,LUM/IVA granules for oral administration
NCT06350149,OTHER,Sugar Sweetened Beverages (SSB),"The following are considered SSBs: non-diet soft drinks/sodas, flavored juice drinks, sweetened tea, energy drinks, and electrolyte replacement drinks."
NCT06350149,OTHER,Hi GI,The Glycemic Index of the high-GI meals will be at least 75
NCT06350149,OTHER,Lo GI,The Glycemic Index of the low- -GI meals will not be higher than 55.
NCT07547436,BIOLOGICAL,SAR445399,"Pharmaceutical form:

solution for injection

Route of administration:

injection"
NCT07547436,BIOLOGICAL,Placebo,"Pharmaceutical form:

solution for injection

Route of administration:

injection"
NCT00840333,DRUG,MP-376 (Levofloxacin solution for Inhalation),DOSE BASED ON PATIENTS WEIGHT
NCT02088216,DRUG,N-acetylcysteine,600mg po twice a day for 12 months
NCT02088216,OTHER,On-demand treatment,receive as-needed therapy
NCT00742092,DRUG,miglustat,Oral miglustat capsules 200 mg t.i.d. (three times a day) for 7 days and a single 200 mg dose on Day 8
NCT00742092,DRUG,placebo,Oral placebo capsules matching in appearance miglustat capsules given t.i.d. (three times a day) for 7 days and a single dose on Day 8
NCT02742519,DRUG,ivacaftor,
NCT02742519,DRUG,Placebo,
NCT05111145,DRUG,ELX/TEZ/IVA,Fixed-dose combination tablets for oral administration.
NCT05111145,DRUG,IVA,Tablets for oral administration.
NCT00967681,DIETARY_SUPPLEMENT,Oncoxin,"(caplets 300 mg), three oral caplets per day for 24 weeks"
NCT00967681,DIETARY_SUPPLEMENT,Placebo,"(caplets 300 mg), three oral caplets per day for 24 weeks"
NCT04176328,DRUG,Teicoplanin Sandoz 200 mg powder and solvent for solution for injection or infusion or oral solution.,Teicoplanin Sandoz administered by inhalation (aerosol).
NCT01915875,OTHER,sophrology sessions at home,The sophrology is a dynamic method of physical and psychical relaxation
NCT06284577,DIETARY_SUPPLEMENT,Multistrain Probiotic,Participants will recieve a multi-strain probiotic daily for 6 months
NCT06284577,DIETARY_SUPPLEMENT,Placebo - maltodextrin,Participants will recieve placebo/ maltodextri daily for 6 months
NCT03993600,DIAGNOSTIC_TEST,Sweat test (Macroduct Sweat Collection System) and skin biopsy (Punch Biopsy),"three groups:

1. Healthy volunteers
2. Patients with Cystic fibrosis
3. Heterozygous subjects"
NCT01253733,BEHAVIORAL,MD2ME,"The goals of the MD2Me intervention include increasing disease self-efficacy, disease knowledge, and the ability to control one's disease independently. The intervention includes an 8-week web program with weekly behavioral skills, topics on how to navigate the healthcare system, lifestyle tips, a Discussion Board, and text messages."
NCT03965832,DEVICE,HFNT during exercise,"6-minute walking test performed initially on HFNT. HFNT will be set with an inspiratory flow rate at 45-55 L/min (maximal tolerated flow), temperature at 37°C or 34°C if perceived as too warm, and fraction on inspired oxygen (FiO2) as at baseline conditions during exercise.

Participants will then cross-over to repeat the test on baseline conditions."
NCT03965832,DEVICE,Standard oxygen therapy/RA,6-minute walking test performed on baseline conditions. Participants will then be cross over to repeat the test on HFNT
NCT06958094,OTHER,Gamified mobile health applications,"* Voice Volume Catcher: A game where players control a character's movement by modulating their voice volume. Louder or softer sounds move a basket to collect different types of fruits, encouraging continuous vocal engagement and fine control of breath intensity.
* Scream Go Hero: A voice-controlled platform game where players produce short or long vocalizations to make the hero character jump or move across obstacles. The game demands breath control and supports prolonged exhalations for larger jumps with an open glottis, which is beneficial for airway clearance.
* Chicken Scream: A voice-activated game where players guide a chicken character by varying their vocal intensity to make it walk, jump, and avoid enemies. Participants must dynamically adjust their breath pressure and vocal intensity while maintaining open-glottis breathing, promoting agility in respiratory control."
NCT06958094,OTHER,Conventional Airway Clearance Therapy,"* Autogenic Drainage: A technique where participants perform a series of controlled breathing cycles-deep inhalations followed by forceful exhalations-to mobilize mucus from the lower airways to the upper airways. The technique encourages breath control and helps clear secretions without the need for coughing, promoting efficient airway clearance.
* Active Cycle of Breathing Techniques (ACBT): In this technique, participants alternate between relaxed breathing, deep breaths, and huffing to mobilize and expel mucus from the lungs. It focuses on breathing control to loosen and expel secretions effectively while maintaining a steady airflow throughout the process.
* Positive Expiratory Pressure (PEP) Therapy: This technique involves exhaling against a resistance through a device, which helps to open the airways and prevent their collapse. The resistance promotes prolonged exhalations, facilitating the movement of mucus from the small airways to the larger airways for easier clearance."
NCT06958094,OTHER,Combination Treatment,"\- Gamified mHealth Apps (10 minutes):

Voice Volume Catcher

Scream Go Hero

Chicken Scream

\- Conventional Airway Clearance Techniques (10 minutes):

Autogenic Drainage

Active Cycle of Breathing Techniques (ACBT)

Positive Expiratory Pressure (PEP) Therapy"
NCT03921229,BEHAVIORAL,Tele-coaching,"Patients will meet with a ""tele-coach,"" who is a care team member, via video-calling, on a regular basis for six months to identify and address treatment adherence concern(s)."
NCT03492567,BIOLOGICAL,Blood test,Blood draw (max 15 ml)
NCT01450267,DRUG,Inhaled Reduced Glutathione,"10 mg/kg, twice daily, 12 months"
NCT01450267,DRUG,Physiological solution,"0,13 ml/kg body weight, twice daily, 12 months"
NCT00662675,DRUG,"Pancrease MT 10.5, or MT 21","Pancrease MT capsules for maximum dose of 10,000 lipase units / Kg / day"
NCT00662675,DRUG,Placebo for Pancrease MT 10.5 or MT 21,Capsules with Pancrease MT excipients without the active enzymes
NCT00975663,DRUG,Tacrolimus and MMF,Tacrolimus: daily oral dose divided into 2 doses (morning and evening). MMF: daily dose divided into 2 doses at 12 hour intervals or 3 doses at 8 hour intervals.
NCT00975663,DRUG,Tacrolimus and MMF,Tacrolimus: daily oral dose divided into 2 doses (morning and evening). MMF: daily dose divided into 2 doses at 12 hour intervals or 3 doses at 8 hour intervals.
NCT01377792,DRUG,Hypertonic saline,comparison of different dosages of drug
NCT03644199,OTHER,Oral Glucose Tolerance Test (OGTT) assessment arm,Hormonal and motility responses to a standard OGTT evaluation arm
NCT03644199,OTHER,Mixed meal test evaluation test arm,Evaluate the hormonal and motility responses to a standard mixed meal test through the day
NCT05561764,DRUG,Imipenem/Cilastatin/Relebactam,Patients will receive intravenous imipenem/cilastatin/relebactam every 6 hours for 10-14 days.
NCT00865904,DRUG,VX-809,Capsules
NCT00865904,DRUG,Placebo,Placebo matched to VX-809 capsules.
NCT03258853,DEVICE,Bionic Pancreas,"Bionic pancreas system: The bionic pancreas is an autonomous, self-learning system that requires only the subject's weight for initialization, and then autonomously adapts insulin dosing to maintain glycemic control. The bionic pancreas uses continuous glucose monitoring as input to the controller. The bionic pancreas can be used in a bi-hormonal configuration, administering both insulin and glucagon as well as an insulin only setting."
NCT03258853,OTHER,Usual Care,Subjects will remain on home insulin regimen (either insulin pump or injectable insulin). Subjects in usual care will wear a study CGM even if in typical care does not include CGM use.
NCT00999531,DRUG,GS-9411,Inhaled GS-9411 dissolved in sterile saline
NCT00999531,DRUG,Placebo,"Inhaled Placebo, sterile saline"
NCT00966602,DRUG,VX-809,"VX-809 capsule, once daily for 14 days"
NCT00966602,DRUG,VX-770,"VX-770 tablet, once every 12 hours for 14 days"
NCT00966602,DRUG,VX-809 & VX-770,"VX-809 capsule, once daily, and VX-770 tablets, once every 12 hours, for 14 days"
NCT00966602,DRUG,Placebo,Matching Placebo
NCT01035853,DRUG,Colistin,"Sino-Nasal inhalation, approximately 1 ml / day in each nostril"
NCT07108153,DRUG,SION-719,"All participants receive SION-719, as specified by their treatment sequence assignment"
NCT07108153,DRUG,Placebo-to-match SION-719,"All participants receive placebo to match SION-719, as specified by their treatment sequence assignment"
NCT04777344,BEHAVIORAL,Tobacco Treatment Specialist (TTS) intervention,A trained Tobacco Treatment specialist (TTS) embedded in the multi-disciplinary CF care team will provide tobacco use counseling to smoking caregivers of children with CF.
NCT05274269,DRUG,ELX/TEZ/IVA,Fixed-dose combination (FDC) tablets for oral administration.
NCT05274269,DRUG,IVA,Tablet for oral administration.
NCT05274269,OTHER,Placebo (matched to ELX/TEZ/IVA),Placebo matched to ELX/TEZ/IVA for oral administration.
NCT05274269,OTHER,Placebo (matched to IVA),Placebo matched to IVA for oral administration.
NCT02301377,DEVICE,Spiro PD personal spirometer,
NCT02750501,DEVICE,RELiZORB (immobilized lipase) cartridge,"Hydrolyzing fats from enteral formula, ex vivo, with in-line enteral feed RELiZORB (immobilized lipase) cartridge"
NCT02750501,OTHER,Impact Peptide 1.5,"Impact Peptide 1.5 at a volume of administration from 500 mL to 1,000 mL per enteral feeding"
NCT02819856,DRUG,Placebo,0 mg SPI-1005 bid po x 21d
NCT02819856,DRUG,SPI-1005 Ebselen 200mg Capsule x1,200 mg SPI-1005 bid po x21d
NCT02819856,DRUG,SPI-1005 Ebselen 200mg Capsule x2,400 mg SPI-1005 bid po x 21d
NCT02819856,DRUG,SPI-1005 Ebselen 200mg Capsule x3,600 mg SPI-1005 bid po x 21d
NCT01746095,DRUG,Vancomycin hydrochloride inhalation powder,"There will be two treatment cohorts in this study, each comprised of 40 randomized (1:1 active to placebo) and treated patients (adults ≥18 and children ≥12 years of age). In Cohort 1, patients will be enrolled and randomized to receive the 32 mg dose of AeroVanc bid or placebo bid. Prior to starting enrollment in Cohort 2, a safety evaluation will be carried out by the Data Monitoring Committee (DMC) based on treatment data from the first 20 patients in Cohort 1. Subject to the Sponsor's written communication of the DMC's opinion of acceptable safety, the dose for the active arm in Cohort 2 will be escalated to 64 mg bid. Optionally, the active arm for Cohort 2 may also be kept the same (32 mg bid), or reduced to 16 mg bid, depending on the outcome of the DMC's safety evaluation."
NCT01746095,DRUG,Placebo inhalation powder,
NCT01426256,DIETARY_SUPPLEMENT,Cholecalciferol,"Bolus dose of 250,000 IU during hospitalization + maintenance dose of 50,000 IU vitamin D every other week to be initiated 3 months after bolus dose"
NCT00446680,DRUG,Mannitol,400mg BD for 6 months followed by a 6 month open label period
NCT00446680,DRUG,placebo,placebo BD for 6 months
NCT01201434,DIETARY_SUPPLEMENT,Bio-25 probiotic,2 tablets per day for 6 months
NCT00716664,OTHER,A treatment series of gentle joint and muscle movements,"Undertaken by a physiotherapist, weekly, for six weeks"
NCT00716664,OTHER,Control group measurements,"The control group are measured using the same outcome measures at the same time intervals, but receive no active intervention"
NCT00774072,DRUG,Tobramycin (Gernebcin®),1 ml / day in each nostril
NCT02934139,DRUG,Cavosonstat,CFTR modulator that stabilizes CFTR
NCT02934139,OTHER,Placebo,Matched placebo
NCT01463371,DRUG,Azithromycin,250 mg three times a week during three months
NCT03489629,DRUG,Trimethoprim Sulfamethoxazole (TMP/SMX),"Dosing if \< 40 kg: 8 mg/kg trimethoprim/40 mg/kg trimethoprim sulfamethoxazole given twice daily for 14 days during Days 1-14 and Days 29-42.

Dosing is ≥ 40 kg: 320 mg/1600 mg twice daily for 14 days during Days 1-14 and Days 29-42."
NCT03489629,DRUG,Minocycline,"If a subject has an allergy to or intolerance to TMP/SMX, they may be treated with minocycline provided they are 8 years of age or older.

Dosing if \< 50 kg: 2 mg/kg orally twice daily for 14 days during Days 1-14 and Days 29-42.

Dosing if ≥ 50 kg: 100 mg twice daily for 14 days during Days 1-14 and Days 29-42."
NCT03489629,DRUG,Mupirocin,1 gram 2% nasal ointment generously applied to each nostril using a cotton swab twice daily for 5 days during Days 1-5 and Days 29-33.
NCT03489629,DRUG,Chlorhexidine Gluconate,"For subjects able to swish without swallowing, 0.12% chlorhexidine gluconate oral rinse will be used twice daily for 14 days during Days 1-14 and Days 29-42."
NCT03489629,BEHAVIORAL,Environmental Decontamination,"Subjects will be instructed to wipe down all high touch surfaces and medical equipment with surface disinfection wipes daily during Days 1-21 and Days 29-49.

Subjects will also be instructed to wash all linens and towels in hot water once weekly during weeks 1-3 and weeks 5-7."
NCT03601637,DRUG,LUM,Fixed Dose Combination (FDC) granules (LUM/IVA).
NCT03601637,DRUG,IVA,FDC granules (LUM/IVA).
NCT01293019,PROCEDURE,Osteopathic treatment,Real treatment of osteopathy
NCT01293019,PROCEDURE,Sham Placebo,Sham treatment of osteopathy
NCT01293019,PROCEDURE,Usual care,Classical treatment of pain in cystic fibrosis patients
NCT01810536,DEVICE,Hi-flow nasal cannula,Different ways of providing supplemental oxygen will be compared: hi-flow nasal cannulas versus Venturi masks
NCT01810536,DEVICE,Venturi mask,
NCT01270347,DRUG,MP-376 (Levofloxacin Solution for Inhalation),"MP-376 (Aeroquin, Levofloxacin solution for Inhalation) 240 mg administered BID for 28-days treatment followed by 28 days off treatment"
NCT01270347,DRUG,TIS (Tobramycin Inhalation Solution),Tobramycin Inhalation Solution administered BID over 3 consecutive cycles of 28-days treatment followed by 28 days off treatment
NCT02489955,DRUG,Amikacin,
NCT02489955,DRUG,Tobramycin,
NCT02489955,DRUG,Colomycin,
NCT04294043,DRUG,Gallium nitrate,Study subjects will receive an infusion of gallium nitrate.
NCT02110914,BEHAVIORAL,Coaching,"Coaching is based on the principles of the Co-active coaching model and performed by a certified coach. At the first coaching session the coach and client will make an agreement about the format for subsequent coaching sessions. The first and the last coaching session will always be ""face to face"" at the hospital and last 1- 1½ hours. Intervening coaching sessions will be approximately 60 minutes by phone or face to face. In total, ten coaching sessions will be offered, one every 1-2 weeks early in the program and one every 2-4 weeks later in the process. The duration of the coaching intervention will be between 6 and 9 months."
NCT06132048,DEVICE,MuCopilot mobile application,"MuCopilot is a software as medical device with three digital tests, to measure patient's with CF, lung function, global exercise capacity and a questionnaire to address CF symptoms and impacts on some aspects of patient's life"
NCT04451213,DIAGNOSTIC_TEST,MRI head,MRI head
NCT05392855,OTHER,Symptom driven performance of airway clearance,"Perform symptom driven/intermittent airway clearance therapy with frequency based off of patient's daily symptoms including mobilization therapy (high-frequency chest compression or vest device, intrapulmonary percussive ventilator, positive expiratory pressure device) and inhaled/nebulized therapies of albuterol, hypertonic saline and dornase alfa for the 12 week study period."
NCT05392855,OTHER,Continuous daily performance of airway clearance,"Continue run-in protocol of twice daily airway clearance using twice daily mobilization therapy (high-frequency chest compression or vest device, intrapulmonary percussive ventilator, positive expiratory pressure device) and inhaled/nebulized therapies of albuterol, hypertonic saline and dornase alfa for the 12 week study period."
NCT02324855,OTHER,Chest physiotherapy plus usual care,"Subjects will perform daily chest physiotherapy during at least 30 minutes. Patients will perform a slow expiratory airway clearance technique combined with positive expiratory pressure device (Acapella device, Murray et al.) Each patient will receive 12 supervised professional sessions (once a month)."
NCT02141958,DRUG,Fenretinide,"Fenretinide oral capsules of 100mg, each selected dose being administered once daily for 21 days (treatment cycle). Up to three total daily dose levels will be assessed in the study, as follows: 100mg of Fenretinide (one capsule) for the first treatment cycle, 200mg of Fenretinide (two capsules) in the second treatment cycle, and 300mg or 400mg of Fenretinide (3 or 4 capsules) will be selected for the third treatment cycle, based on safety and PK data collected."
NCT02141958,DRUG,Placebo,A matching placebo will be used to keep the study double-blind.
NCT04545515,DRUG,ELX/TEZ/IVA,Fixed dose combination (FDC) tablets for oral administration.
NCT04545515,DRUG,IVA,Tablet for oral administration.
NCT04961008,OTHER,Bottle-PEP,A device that gives positive pressure from a bottle with the help of a non deflating tube
NCT04961008,OTHER,Routine physiotherapy,Routine pulmonary physiotherapy
NCT03423576,BEHAVIORAL,comprehensive patient-centered outpatient health service with multiple components,Individualized multi-component education and counselling program coordinated by a case Manager.
NCT02496780,DRUG,novolog insulin,3x daily rapid-acting insulin
NCT02496780,DRUG,levemir insulin,basal insulin once a day
NCT02496780,DRUG,placebo,once or 3x daily
NCT00744276,DRUG,danazol,danazol applied topically once per day for 4 treatment cycles
NCT00744276,DRUG,Placebo,placebo topically applied once daily for 4 treatment cycles
NCT04458129,DRUG,Treatment with polyethylene glycol (Macrogol 4000),"3-month treatment with polyethylene glycol (Macrogol 4000), powder for oral solution, in 4g and 10g sachets. Dosage of 0.7 g/kg/day, with a maximum dose of 20 g/day."
NCT02104245,DRUG,Ciprofloxacin dispersion for inhalation,
NCT02104245,DRUG,Placebo,
NCT05223881,DEVICE,13^C Spirulina Platensis Gastric Emptying Breath Test (GEBT),"After an overnight (minimum 8 hours) fast, patients are given a standardized test meal, after which they are administered the GEBT. Patients are asked to hold a glass tube in a comfortable position, take a deep breath and pause momentarily, blow gently into the tube for 5 - 10 seconds, slowly withdraw straw from tube while continuing to breath into tube, and immediately close the tube securely with the cap."
NCT00455130,DRUG,Inhaled mannitol,
NCT03295201,OTHER,Active cycle of breathing techniques (ACBT),"ACBT involves three phases (Breathing control, chest expansion exercise, and huff coughing). These phases will apply with a sequence to remove secretion. ACBT will apply 1 per a week for 6 weeks."
NCT03295201,OTHER,Postural Exercise,"Postural exercise program will include thoracic vertebra mobilization, pectoral stretching, scapula and thoracic extensors strengthening and core stability exercises. Postural exercise program will apply 1 per a week for 6 weeks."
NCT00967798,DRUG,Sitagliptin,"100 mg of sitagliptin is taken orally each morning with breakfast. Duration is 12 months or conversion to CF diabetes, whichever comes first."
NCT03104855,DRUG,d6-25-hydroxyvitamin D3,intravenous administration of stable isotope-labeled D6-25(OH)D3
NCT06122025,DEVICE,Patient Access,A 6-month pilot prospective interventional study with an independent groups design.
NCT00788138,DIETARY_SUPPLEMENT,Vitamin D3,"250,000 IU of vitamin D3"
NCT00788138,DIETARY_SUPPLEMENT,Placebo,Matching Placebo
NCT00728715,DRUG,budesonide-formoterol single inhaler,"High dose budesonide:Budesonide (Pulmocort turbuhaler) 400 mcg (2 inhalations bid) Medium dose budesonide plus formoterol (Rilast turbuhaler) 4,5 mcg of formoterol plus 400 mcg of budesonide: 2 inhalations bid"
NCT00728715,DRUG,High dose of budesonide,1600 mcg/d of budesonide
NCT00728715,DRUG,A,medium dose of budesonide-formoterol
NCT00728715,DRUG,B,High Dose Inhaled Budesonide
NCT05641298,DRUG,Sodium Fusidate,Tablets
NCT05641298,DRUG,Placebo,Tablets
NCT00510484,DRUG,Pancrelipase Delayed Release,24000 unit Capsule
NCT00510484,DRUG,Placebo Comparator,Placebo
NCT07608328,OTHER,Standard Bronchiectasis Care,"Standard bronchiectasis care provided in both randomized groups according to institutional practice and treating physician judgment. Standard bronchiectasis care may include mucolytics, bronchodilators, chest physiotherapy, patient education, airway-clearance support, and treatment of acute exacerbations with antibiotics with or without systemic corticosteroids according to clinical indication.

Standard bronchiectasis care is provided as shared background care in both arms and is not the randomized treatment contrast. Clinically required rescue or emergency care remains permitted according to treating physician judgment."
NCT07608328,DRUG,Azithromycin,"Azithromycin 250 milligrams orally once daily for 12 months, added to standard bronchiectasis care."
NCT07608328,DRUG,Matching Placebo,"Matching inert placebo tablet orally once daily for 12 months, added to standard bronchiectasis care. The placebo will not contain active azithromycin."
NCT03734744,DIETARY_SUPPLEMENT,Vitamin D3,Vitamin D is a fat-soluble vitamin that plays an important role in immune modulation in addition to its classical roles in regulation of calcium homeostasis and bone health
NCT04705636,DEVICE,"Connected device named ""Leo"" from Ludocare society","Connected device named ""Leo"" from Ludocare society will be allocated to each child for three-months period. During this time, child will be helped to take all of his medication and specific care by this connected device."
NCT03913507,DEVICE,"Macroduct® Advanced Model 3710 SYS, Wescor","for each subject, both methods will be tested in order to compare the efficacy of the new sweat collection method (Macroduct® Advanced Model 3710 SYS, Wescor) to the method currently used in clinical routine."
NCT00889434,DIETARY_SUPPLEMENT,ECGC,1 cycle will comprise 28 days of continuous daily treatment with EGCG given once/day(total 375 mg) /day in the morning with food followed by a 14 day wash out period without drug.
NCT00889434,DIETARY_SUPPLEMENT,Tocotrienol,One cycle will comprise 28 days of continuous daily treatment with Tocotrienol given 2 times/6 soft gel capsules (total 600 mg) /day (BID) in the morning and in the evening with food followed by a 14 day wash out period without drug.
NCT00889434,DIETARY_SUPPLEMENT,EGCG + Tocotrienol,combination of both arms 375 mg EGCG + 600mg/day Tocotrienol
NCT04696484,BEHAVIORAL,coopeRATE Prompt,"The coopeRATE Prompt intervention is a set of two questions delivered to patients before the clinical encounter that elicit their concerns and goals. The intervention is delivered to patients online, outside the clinic setting."
NCT07376187,DEVICE,Videoconferencing (Vsee platform),"The prescribed weekly regimen will consist of 50-minute remote sessions: two synchronous, supervised sessions conducted via the Vsee platform, and a minimum of one asynchronous, unsupervised session. Children will perform ACTs (including individualized teaching and review of postural drainage, percussion, vibration, ACTs devices, huffing, coughing), diaphragmatic breathing, and blowing games. During the synchronous, supervised videoconference sessions, they will be monitored/supervised by the pediatric physiotherapist. The exercise program will be based on the 24-letter Greek alphabet, where each letter represents an individual aerobic or strengthening exercise. The exercise program consists of 16 exercises per session, varied on the four-letter words chosen at a time. At each session, a combination of four words will be performed. The exercise program will last 25 to 30 minutes per session. The exercise workload will be equal to 60 - 70% of maximum heart rate."
NCT07376187,DEVICE,Specially designed website (FysΑΩ),"The DHSG will be granted access to a website (www.fysao.gr) for disease management, including information about common symptoms, nutrition, pharmacological treatment, exercise, and ACTs performance. To facilitate adherence and longitudinal monitoring, the DHSG will receive automated weekly reminders for ACTs and exercise performance. Through the web portal's integrated evaluation forms, children can report daily symptomatology and track any clinical fluctuations. All the ACTs and the exercise program have been digitized as high-definition videos and images, ensuring asynchronous accessibility for the DHSG. Furthermore, the platform facilitates secure communication, enabling children and their parents/caregivers to communicate with healthcare professionals via integrated email or direct document transmission."
NCT01299194,DRUG,ATORVASTATIN,80mg once daily for 3 months
NCT03925194,DRUG,Anakinra,Application of Anakinra once daily for 28 days
NCT06663176,DRUG,RESP302,Nitric Oxide agent
NCT06663176,DRUG,RESP303,Nitric Oxide agent
NCT01840735,DRUG,GS-5737,
NCT01840735,DRUG,Placebo,
NCT01944735,DRUG,CTX-4430,"Ascending repeat doses of CTX-4430 will be administered orally, once-daily, to patients in 2 cohorts on days 1-15."
NCT01944735,DRUG,Placebo,"Repeat doses of placebo will be administered orally, once-daily, to patients in 2 cohorts on days 1-15"
NCT03988816,DRUG,Roflumilast,"500Mcg Tab, once daily"
NCT03988816,DRUG,Placebo oral tablet,once daily
NCT03782909,BEHAVIORAL,Behaviour change intervention,"The behaviour change intervention consists of;

1. Feedback via an app based food diary
2. Coaching with problem solving and implementation plans

The intensive phase consists of 2 home visits and 4 phone calls and the use of the app The maintenance phase consists of use of the app if the PWCF wishes to continue using it"
NCT04531410,DIETARY_SUPPLEMENT,linoleic acid supplementation,Oils given daily at morning meal with extra enzymes
NCT04531410,DIETARY_SUPPLEMENT,oleic acid supplementation,Oils given at morning meal with extra enzymes
NCT05668741,DRUG,VX-522 mRNA therapy,Oral inhalation using nebulizer.
NCT05668741,DRUG,IVA,Tablet for oral administration.
