nct_id,intervention_type,intervention_name,description
NCT00775528,DRUG,Pancrelipase Delayed Release,"3,000, 6,000 and 12,000 unit Lipase Capsules"
NCT01693965,OTHER,sputum samples,
NCT00685971,DIETARY_SUPPLEMENT,5000 IU of cholecalciferol,5 drops taken once daily for 12 weeks
NCT00685971,DIETARY_SUPPLEMENT,placebo,5 drops once daily for 12 weeks
NCT00043316,DRUG,interferon gamma-1b,"500 or 1000 mcg, inhalation, 3x per week"
NCT04825067,DEVICE,Respiratory Sensor measurements,"The participant will receive 2 Respiratory Sensors and 1 gateway with wireless compatibility and a welcome packet with instructions for use, a reminder description of the study purpose and procedures, and research staff contact information. Research staff will contact participants to ensure appropriate setup of the Respiratory Sensor and training on proper use. Research staff will ask the subject to place the Respiratory Sensor on the top left-side of the chest. The Respiratory Sensor continuously collects and monitors respiratory data. The participant will be instructed to change each Respiratory Sensor after 24-48 hours. Subjects will be asked to charge each Respiratory Sensor once it is removed. Subjects will exit the study upon completion of the 90-day follow-up."
NCT04075864,BEHAVIORAL,Behavioral Counseling and Exercise,exercise program combined with behavioral counseling for patients who are hospitalized with a cystic fibrosis exacerbation
NCT03227471,DRUG,IVA,IVA tablet for oral administration
NCT03227471,DRUG,TEZ/IVA,TEZ/IVA fixed-dose combination for oral administration.
NCT03227471,DRUG,VX-445,VX-445 tablet for oral administration.
NCT03227471,DRUG,Matched Placebo,Matched placebo.
NCT03227471,DRUG,TEZ,Tablet for oral administration.
NCT03227471,DRUG,VX-561,Tablet for oral administration.
NCT03227471,DRUG,VX-445,VX-445 IV injection
NCT04137133,DIAGNOSTIC_TEST,collection,"bronchial secretions, blood, stools, superficial skin sample, dental plaque sample and urine"
NCT02128984,DIETARY_SUPPLEMENT,Symbiotic Formula with DHA and antioxidants,6 months intervention.
NCT02128984,DIETARY_SUPPLEMENT,Standard Formula,6 months intervention.
NCT01576315,DRUG,Itraconazole/voriconazole,The two treatments will be administered orally for 6 months One doage of treatment permitted based on plasma levels will be performed after two weeks of treatment.
NCT01216046,DRUG,VX-809,"capsule, taken once daily"
NCT01216046,DRUG,VX-770,"tablet, taken once every 12 hours"
NCT01216046,DRUG,VX-809 placebo,"capsule, taken once daily"
NCT01216046,DRUG,VX-770 placebo,"tablet, taken once every 12 hours"
NCT01111383,DRUG,tobramycin,"300mg/4ml solution, via a nebuliser, over a 48-week period in a twice-daily regimen, with 6 ""on"" cycles of 4 weeks duration during the 48-week period."
NCT00298922,DRUG,Azithromycin,500 mg tablets orally thrice weekly for 24 weeks
NCT00298922,DRUG,Placebo,tablet orally thrice weekly for 24 weeks
NCT04488705,DRUG,ETD002 - single dose,Single ascending doses of ETD002
NCT04488705,DRUG,Placebo - single dose,Single doses of placebo
NCT04488705,DRUG,ETD002 - 7 day repeat dose,Twice daily doses of ETD002 for 7 days
NCT04488705,DRUG,Placebo - 7 day repeat dose,Twice daily doses of Placebo for 7 days
NCT04488705,DRUG,ETD002 - 14 day repeat dose,Twice daily doses of ETD002 for 14 days
NCT04488705,DRUG,Placebo - 14 day repeat dose,Twice daily doses of Placebo for 14 days
NCT04488705,DRUG,Salbutamol,"Twice daily doses of salbutamol for 3 days (Days 5, 6 \& 7)"
NCT01353105,PROCEDURE,Ex vivo lung transplantation,Evaluation and reconditioning of lungs following lung transplantation
NCT01181622,DRUG,denufosol tetrasodium Inhalation Solution,60 mg by oral inhalation three times daily
NCT01181622,DRUG,0.9% w/v sodium chloride solution,0.9% w/v sodium chloride solution by oral inhalation three times daily
NCT01140451,DRUG,Ataluren,Ataluren will be provided as a vanilla-flavored powder to be mixed with water or milk.
NCT03140527,DRUG,PTI-801,Active
NCT03140527,DRUG,Placebo,Placebo
NCT03140527,DRUG,PTI-808,Active
NCT03140527,DRUG,Placebo,Placebo
