nct_id,brief_title,overall_status,lead_sponsor_class,lead_sponsor_name,phase,normalized_stage,is_active,ncfb_heuristic,disease_area,strategy,strategy_rule_id,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,review_status,review_source,asset_name,company_name,linked_program_id,review_notes,retrieved_at,source_id
NCT01180842,Treatment of Anxiety/Depression and Pain Through Relaxation Yoga for Patient With Cystic Fibrosis (CF),COMPLETED,OTHER,Children's Hospitals and Clinics of Minnesota,PHASE2,phase_2,False,,cf,care_delivery,care_delivery,N8,supportive,0,0,0,auto_suggested,rules,,Children's Hospitals and Clinics of Minnesota,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01181622,A Safety and Tolerability Study of Denufosol in 2-4 Year Olds,COMPLETED,INDUSTRY,Merck Sharp & Dohme LLC,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Merck Sharp & Dohme LLC,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01183286,CFfone: A Cell Phone Support Program for Adolescents With Cystic Fibrosis,UNKNOWN,OTHER,"Dawkins Productions, Inc.",PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"Dawkins Productions, Inc.",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01192360,Dynamic Contrast Enhanced Magnetic Resonance Perfusion Imaging in Congenital Heart Disease and Lung Disease,COMPLETED,OTHER,The Hospital for Sick Children,PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,The Hospital for Sick Children,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01194232,Sildenafil Trial in Children and Young Adults With CF,WITHDRAWN,OTHER,"Children's Hospital Medical Center, Cincinnati",PHASE1;PHASE2,phase_1,False,,cf,diagnostic,diagnostic,,diagnostic,0,0,0,auto_suggested,rules,,"Children's Hospital Medical Center, Cincinnati",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01201434,Effect of Probiotics on Sputum Inflammation and Pulmonary Infections in Patients With Cystic Fibrosis,TERMINATED,OTHER_GOV,Sheba Medical Center,NA,not_applicable,False,,cf,antimicrobial,antimicrobial,N4,supportive,0,0,0,auto_suggested,rules,,Sheba Medical Center,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01207245,Circadian Rhythm In Tobramycin Elimination In Cystic Fibrosis,COMPLETED,OTHER,University of Nottingham,PHASE4,approved,False,,cf,antimicrobial,antimicrobial,N4,supportive,0,0,0,auto_suggested,rules,,University of Nottingham,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01208285,Study of VX-770 in Subjects With Moderate Hepatic Impairment and in Matched Healthy Subjects,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01216046,Drug-Drug Interaction Study of VX-770 and VX-809 in Healthy Subjects,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01222273,Open-label Vitamin D Trial for Patients With Cystic Fibrosis and Allergic Bronchopulmonary Aspergillosis,COMPLETED,OTHER,University of Pittsburgh,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Pittsburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01223183,Absorptive Clearance After Inhaled Osmotics in Cystic Fibrosis,COMPLETED,OTHER,University of Pittsburgh,PHASE1,phase_1,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,University of Pittsburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01225211,Study of VX-809 Alone and in Combination With VX-770 in Cystic Fibrosis (CF) Patients Homozygous or Heterozygous for the F508del-CFTR Mutation,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE2,phase_2,False,,cf,cftr_modulator,modulator,N2,therapeutic,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01229553,Effect of Topical and Systemic Decolonization of Staphylococcus Aureus (SA) in Pediatric Cystic Fibrosis (CF) Patients,WITHDRAWN,OTHER,State University of New York - Upstate Medical University,NA,not_applicable,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,State University of New York - Upstate Medical University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01232478,I Change Adherence & Raise Expectations,COMPLETED,OTHER,Johns Hopkins University,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,supportive,0,0,0,auto_suggested,rules,,Johns Hopkins University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01241942,Phase 2 Study of Ex-vivo Perfusion and Ventilation of Lungs to Assess Transplant Suitability,TERMINATED,OTHER,"University of North Carolina, Chapel Hill",NA,not_applicable,False,,cf,other,no_keyword_match,,diagnostic,0,0,0,auto_suggested,rules,,"University of North Carolina, Chapel Hill",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01253733,MD2Me - Texting to Promote Chronic Disease Management,COMPLETED,INDIV,"Huang, Jeannie, M.D.",NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"Huang, Jeannie, M.D.",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01257464,Sitagliptin in Cystic Fibrosis-Related Diabetes,TERMINATED,OTHER,University of British Columbia,PHASE2,phase_2,False,,cf,metabolic_cfrd,cfrd,N5,therapeutic,0,0,0,auto_suggested,rules,,University of British Columbia,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01262352,Study of the Effect of Ivacaftor on Lung Clearance Index in Subjects With Cystic Fibrosis and the G551D Mutation,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE2,phase_2,False,,cf,cftr_modulator,modulator,N2,therapeutic,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01266473,Study of Individualized Physiotherapy for Airway Clearance in Cystic Fibrosis.,COMPLETED,OTHER,Oslo University Hospital,NA,not_applicable,False,,cf,mucociliary_clearance,mucociliary,N3,supportive,0,0,0,auto_suggested,rules,,Oslo University Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01270074,Prevention of Bronchiectasis in Infants With Cystic Fibrosis,COMPLETED,OTHER,The University of Queensland,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,The University of Queensland,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01270347,Trial of Aeroquin Versus Tobramycin Inhalation Solution (TIS) in Cystic Fibrosis (CF) Patients,COMPLETED,INDUSTRY,Amgen,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Amgen,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01288170,Pharmacokinetic Bioequivalence Study of Nebcinal® 150mg/3ml Administered by Aeroneb® Idehaler® Versus Tobi® 300mg/5ml Administered by Pari LC Plus®,UNKNOWN,INDUSTRY,Erempharma,NA,not_applicable,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Erempharma,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01293019,Osteopathic Treatment in Adult Patients With Cystic Fibrosis,COMPLETED,OTHER,Assistance Publique - Hôpitaux de Paris,PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Assistance Publique - Hôpitaux de Paris,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01293084,Hypertonic Saline and Mucociliary Clearance in Children,COMPLETED,OTHER,Johns Hopkins University,PHASE2,phase_2,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,Johns Hopkins University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01299181,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,University of Edinburgh,PHASE4,approved,False,non-cystic fibrosis bronchiectasis,ncfb,care_delivery,care_delivery,,not_cf_primary,0,0,0,auto_suggested,rules,,University of Edinburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01299194,Atorvastatin in Bronchiectasis in Patients With Pseudomonas Aeruginosa,COMPLETED,OTHER,University of Edinburgh,PHASE4,approved,False,non-cystic fibrosis bronchiectasis,ncfb,antimicrobial,antimicrobial,,not_cf_primary,0,0,0,auto_suggested,rules,,University of Edinburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01303068,Detection of Pseudomonas Aeruginosa in the Airways of Patients With CF,COMPLETED,OTHER,University of New Mexico,NA,not_applicable,False,,cf,other,no_keyword_match,,diagnostic,0,0,0,auto_suggested,rules,,University of New Mexico,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01309178,Anti-inflammatory Pulmonal Therapy of Cystic Fibrosis (CF) Patients With Amitriptyline and Placebo,UNKNOWN,OTHER,University Children's Hospital Tuebingen,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University Children's Hospital Tuebingen,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01313624,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,non-cystic fibrosis bronchiectasis,ncfb,antimicrobial,antimicrobial,,not_cf_primary,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01314716,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,non-cystic fibrosis bronchiectasis,ncfb,antimicrobial,antimicrobial,,not_cf_primary,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01315665,Effect of Sulforaphane in Broccoli Sprouts on Nrf2 Activation,COMPLETED,OTHER,University Hospitals Cleveland Medical Center,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University Hospitals Cleveland Medical Center,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01315678,Study to Evaluate Arikayce™ in CF Patients With Chronic Pseudomonas Aeruginosa Infections,COMPLETED,INDUSTRY,Insmed Incorporated,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Insmed Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01315691,Study to Evaluate Arikace™ in CF Patients With Chronic Infection Due to Pseudomonas Aeruginosa,WITHDRAWN,INDUSTRY,Insmed Incorporated,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Insmed Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01316276,Extension Study of Liposomal Amikacin for Inhalation in Cystic Fibrosis (CF) Patients With Chronic Pseudomonas Aeruginosa (Pa) Infection,COMPLETED,INDUSTRY,Insmed Incorporated,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Insmed Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01321905,Prospective Intervention Study on Vitamin D in Patients With Cystic Fibrosis,COMPLETED,OTHER,Karolinska Institutet,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Karolinska Institutet,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01323101,Doxycycline Effects on Inflammation in Cystic Fibrosis,COMPLETED,OTHER,University of Southern California,PHASE4,approved,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Southern California,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01325766,Study of Yoga as a Therapy for Cystic Fibrosis (CF) Patients,UNKNOWN,OTHER,Seattle Children's Hospital,NA,not_applicable,False,,cf,care_delivery,care_delivery,N8,supportive,0,0,0,auto_suggested,rules,,Seattle Children's Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01327703,Control of Steatorrhea in Participants With Cystic Fibrosis and Exocrine Pancreatic Insufficiency,COMPLETED,INDUSTRY,Forest Laboratories,PHASE4,approved,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Forest Laboratories,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01329172,Nasal Mucin Oral Supplementation Treatment Respiratory Inflammation Using PUFA in Cystic Fibrosis (CF) Patients,TERMINATED,OTHER,"University Hospital, Lille",NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"University Hospital, Lille",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01337219,Pharmacokinetic Bioequivalence Study of Nebcinal® 150mg/3ml Administered by Aeroneb® Idehaler® Versus Tobi® 300mg/5ml Administered by Pari LC Plus® /Pulmoaid® in Patients With Cystic Fibrosis,UNKNOWN,INDUSTRY,Erempharma,PHASE1;PHASE2,phase_1,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Erempharma,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01347190,Safety and Tolerability Study of Liquid Alpha1 Proteinase Inhibitor (API) in Subjects With Cystic Fibrosis,COMPLETED,INDUSTRY,CSL Behring,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,CSL Behring,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01348204,Nasal Potential Studies Utilizing Cystic Fibrosis Transmembrane Regulator (CFTR) Modulators,COMPLETED,OTHER,University of Alabama at Birmingham,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Alabama at Birmingham,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01349192,Early Methicillin-resistant Staphylococcus Aureus (MRSA) Therapy in Cystic Fibrosis (CF),TERMINATED,OTHER,"University of North Carolina, Chapel Hill",PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"University of North Carolina, Chapel Hill",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01353105,Evaluation and Reconditioning of Marginal Lung Donors to Transplantation by ex Vivo Lung Perfusion,UNKNOWN,OTHER,InCor Heart Institute,PHASE4,approved,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,InCor Heart Institute,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01355796,Inhaled Xylitol Versus Saline in Stable Subjects With Cystic Fibrosis,COMPLETED,OTHER,Joseph Zabner,PHASE1;PHASE2,phase_1,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Joseph Zabner,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01375049,Aztreonam Lysine for Pseudomonas Infection Eradication Study,COMPLETED,INDUSTRY,Gilead Sciences,PHASE2,phase_2,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01377792,Study of Long-term Treatment With Hypertonic Saline in Patients With Cystic Fibrosis,COMPLETED,OTHER,Adelaida Lamas Ferreiro,PHASE4,approved,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,Adelaida Lamas Ferreiro,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01400750,Comparison of 2 Treatment Regimens for Eradication of P Aeruginosa Infection in Children With Cystic Fibrosis,COMPLETED,OTHER,Universitaire Ziekenhuizen KU Leuven,PHASE4,approved,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Universitaire Ziekenhuizen KU Leuven,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01404234,Safety of AZLI in Children With Cystic Fibrosis (CF) and Chronic Pseudomonas Aeruginosa in the Lower Airways,COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01417481,Effect of Glycine in Cystic Fibrosis,TERMINATED,OTHER_GOV,Instituto Nacional de Enfermedades Respiratorias,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Instituto Nacional de Enfermedades Respiratorias,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01426256,Vitamin D for Enhancing the Immune System in Cystic Fibrosis (DISC Study),COMPLETED,OTHER,Emory University,PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Emory University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01429259,Population Pharmacokinetics of Prolonged Infusion Meropenem in Cystic Fibrosis (CF) Children,COMPLETED,OTHER,Joseph Kuti,PHASE4,approved,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Joseph Kuti,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01450267,Inhaled Glutathione (GSH) Versus Placebo in Cystic Fibrosis,UNKNOWN,OTHER,Serafino A. Marsico,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Serafino A. Marsico,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01455675,Efficacy Study of IgY (Antibody Against Pseudomonas) in Cystic Fibrosis Patients,COMPLETED,OTHER,Mukoviszidose Institut gGmbH,PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Mukoviszidose Institut gGmbH,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01463371,Effects of Azithromycin on Airway Oxidative Stress Markers in Patients With Bronchiectasis,COMPLETED,OTHER,Instituto de Investigacion Sanitaria La Fe,NA,not_applicable,False,non-cystic fibrosis bronchiectasis,ncfb,antimicrobial,antimicrobial,,not_cf_primary,0,0,0,auto_suggested,rules,,Instituto de Investigacion Sanitaria La Fe,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01465529,A Cross-over Study of OligoG in Subjects With Cystic Fibrosis. Fibrosis,COMPLETED,INDUSTRY,AlgiPharma AS,PHASE1;PHASE2,phase_1,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,AlgiPharma AS,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01486199,Imaging Airway Liquid Absorption in Cystic Fibrosis,COMPLETED,OTHER,University of Pittsburgh,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Pittsburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01494909,"Development Of An Innovative Panel of Methods To Measure Intestinal Macronutrient Digestion, Absorption, and Function",COMPLETED,OTHER,Texas A&M University,NA,not_applicable,False,,cf,diagnostic,diagnostic,,diagnostic,0,0,0,auto_suggested,rules,,Texas A&M University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01499914,"Cohort Study Evaluating the Clinical Effectiveness, Safety and Immunogenicity to the Pandemic Influenza Vaccination",COMPLETED,OTHER,Assistance Publique - Hôpitaux de Paris,PHASE4,approved,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Assistance Publique - Hôpitaux de Paris,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01509235,Self Drainage in Pediatric Cystic Fibrosis Patients,COMPLETED,OTHER,Hospices Civils de Lyon,NA,not_applicable,False,,cf,care_delivery,care_delivery,N8,supportive,0,0,0,auto_suggested,rules,,Hospices Civils de Lyon,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01509339,Pharmacokinetics of Vancomycin for Inhalation in Cystic Fibrosis,WITHDRAWN,OTHER,Case Western Reserve University,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Case Western Reserve University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01515007,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-3),COMPLETED,INDUSTRY,Aradigm Corporation,PHASE3,phase_3,False,non-cystic fibrosis bronchiectasis,ncfb,other,no_keyword_match,,not_cf_primary,0,0,0,auto_suggested,rules,,Aradigm Corporation,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01519661,Long Term Safety of Tobramycin Inhalation Powder in Patients With Cystic Fibrosis,COMPLETED,INDUSTRY,Novartis Pharmaceuticals,PHASE4,approved,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Novartis Pharmaceuticals,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01531673,Study of VX-661 Alone and in Combination With Ivacaftor in Subjects Homozygous or Heterozygous to the F508del-Cystic Fibrosis Transmembrane Conductance Regulator(CFTR) Mutation,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE2,phase_2,False,,cf,cftr_modulator,modulator,N2,therapeutic,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01537614,Pharmacokinetic Study of Aerosolized Colimycin in Cystic Fibrosis,COMPLETED,OTHER,Poitiers University Hospital,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Poitiers University Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01537666,"Inhaled Vancomycin Tolerability, Safety and Pharmacokinetics",COMPLETED,INDUSTRY,Savara Inc.,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Savara Inc.,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01543191,A Safety and Tolerability Study OF PUR118 In Subjects With Cystic Fibrosis,COMPLETED,INDUSTRY,Pulmatrix Inc.,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Pulmatrix Inc.,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01546779,The Use of Visual Feedback in Airway Clearance,COMPLETED,OTHER_GOV,Sheba Medical Center,NA,not_applicable,False,,cf,mucociliary_clearance,mucociliary,N3,supportive,0,0,0,auto_suggested,rules,,Sheba Medical Center,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01548729,Metabolic Efficiency of Combined Pancreatic Islet and Lung Transplant for the Treatment of End-Stage Cystic Fibrosis,COMPLETED,OTHER,"University Hospital, Strasbourg, France",PHASE1;PHASE2,phase_1,False,,cf,metabolic_cfrd,cfrd,N5,supportive,0,0,0,auto_suggested,rules,,"University Hospital, Strasbourg, France",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01572194,Predictive Value of PIIINP Urinary for the Development of Chronic Renal Failure in Patients With Cystic Fibrosis After Lung Transplantation (MUCO-IRC),TERMINATED,OTHER,Nantes University Hospital,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Nantes University Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01576315,ATCF (Azole Therapy in Cystic Fibrosis),COMPLETED,OTHER,Rennes University Hospital,PHASE2,phase_2,False,,cf,antifungal,antifungal,N4,therapeutic,0,0,0,auto_suggested,rules,,Rennes University Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01586728,Oxygen Therapy in Cystic Fibrosis,TERMINATED,OTHER,Assistance Publique - Hôpitaux de Paris,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Assistance Publique - Hôpitaux de Paris,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01594827,Persistent Methicillin Resistant Staphylococcus Aureus Eradication Protocol (PMEP),COMPLETED,OTHER,Johns Hopkins University,PHASE2,phase_2,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Johns Hopkins University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01605565,Functional Analysis by Dynamic Imaging of the Respiratory Epithelium in Infants With Cystic Fibrosis,COMPLETED,OTHER_GOV,"Institut National de la Santé Et de la Recherche Médicale, France",NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"Institut National de la Santé Et de la Recherche Médicale, France",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01608555,Tobramycin 300 mg Once-a-day (o.d.) Aerosol in Adults With Cystic Fibrosis,COMPLETED,OTHER,University of Milan,PHASE4,approved,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,University of Milan,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01614457,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have the R117H-CF Transmembrane Conductance Regulator (CFTR) Mutation (KONDUCT),COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE3,phase_3,False,,cf,cftr_modulator,modulator,N2,therapeutic,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01614470,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have a Non-G551D CF Transmembrane Conductance Regulator (CFTR) Gating Mutation,COMPLETED,INDUSTRY,Vertex Pharmaceuticals Incorporated,PHASE3,phase_3,False,,cf,cftr_modulator,modulator,N2,therapeutic,0,0,0,auto_suggested,rules,,Vertex Pharmaceuticals Incorporated,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
