nct_id,brief_title,overall_status,lead_sponsor_class,lead_sponsor_name,phase,normalized_stage,is_active,ncfb_heuristic,disease_area,strategy,strategy_rule_id,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,review_status,review_source,asset_name,company_name,linked_program_id,review_notes,retrieved_at,source_id
NCT00125346,Tobramycin Inhalation Powder (TIP) in Cystic Fibrosis Subjects,TERMINATED,INDUSTRY,Novartis,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Novartis,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00128492,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis (CF) Patients With Pseudomonas Aeruginosa (PA),COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00129350,Assessment of Heart and Heart-Lung Transplant Patient Outcomes Following Pulmonary Rehabilitation,UNKNOWN,OTHER,Royal Brompton & Harefield NHS Foundation Trust,PHASE1,phase_1,False,,cf,care_delivery,care_delivery,N8,supportive,0,0,0,auto_suggested,rules,,Royal Brompton & Harefield NHS Foundation Trust,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00130182,A Study in Pediatric Patients With Cystic Fibrosis Lung Disease,COMPLETED,INDUSTRY,Merck Sharp & Dohme LLC,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Merck Sharp & Dohme LLC,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00153634,Standard vs. Biofilm Susceptibility Testing in Cystic Fibrosis (CF),COMPLETED,OTHER,Seattle Children's Hospital,NA,not_applicable,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Seattle Children's Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00157183,Non-invasive Ventilation and Oxygen Therapy in Cystic Fibrosis Patients With Nocturnal Oxygen Desaturation,COMPLETED,OTHER_GOV,Bayside Health,PHASE1;PHASE2,phase_1,False,,cf,other,no_keyword_match,,diagnostic,0,0,0,auto_suggested,rules,,Bayside Health,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00157690,Study of Alendronate to Prevent and Treat Osteoporosis in Cystic Fibrosis Patients,COMPLETED,OTHER,McMaster University,PHASE4,approved,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,McMaster University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00163852,Treatment of Metabolic Alkalosis in Acute Exacerbations of Cystic Fibrosis,UNKNOWN,OTHER_GOV,Bayside Health,PHASE2;PHASE3,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Bayside Health,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00164138,Prevalence and Treatment of Urinary Incontinence in Women With Cystic Fibrosis and Chronic Obstructive Pulmonary Disease,COMPLETED,OTHER_GOV,Bayside Health,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Bayside Health,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00177645,Inhaled Bicarbonate Therapy in Cystic Fibrosis,COMPLETED,OTHER,University of Pittsburgh,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Pittsburgh,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00179998,Effectiveness of Pulmozyme in Infants With Cystic Fibrosis,COMPLETED,OTHER,Nationwide Children's Hospital,PHASE2,phase_2,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,Nationwide Children's Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00185549,An Interactive Program to Improve Care for Children With CF,COMPLETED,OTHER,Stanford University,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Stanford University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00198289,Aurexis® in Cystic Fibrosis Subjects Chronically Colonized With Staphylococcus Aureus in Their Lungs,COMPLETED,INDUSTRY,Bristol-Myers Squibb,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Bristol-Myers Squibb,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00205634,Macrolide Antibiotic Therapy for Patients With Cystic Fibrosis,COMPLETED,OTHER,Wake Forest University,PHASE2,phase_2,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Wake Forest University,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00208078,Effect of Non-Invasive Ventilation in Cystic Fibrosis Patient With Chronic Respiratory Failure.,TERMINATED,AMBIG,Cochin Hospital,PHASE4,approved,False,,cf,other,no_keyword_match,,diagnostic,0,0,0,auto_suggested,rules,,Cochin Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
